ds,yhat,yhat_lower,yhat_upper
2026-08-28,4484.2292965570105,4372.960531027375,4601.186453220722
2026-08-29,4276.486923404844,4164.208952611499,4395.450469677642
2026-08-30,4287.262360645574,4177.962184829004,4397.14263162388
2026-08-31,4515.95385530812,4402.259792974412,4628.09293944343
2026-09-01,4525.129634209718,4406.241811611359,4644.6778557248945
2026-09-02,4543.822936267281,4435.901260869077,4662.978921863065
2026-09-03,4545.1700922623595,4425.5924605374275,4661.132386578227
2026-09-04,4555.76121234952,4437.2931821550565,4664.487949079227
2026-09-05,4346.143904879892,4232.732098752894,4464.645230234251
2026-09-06,4355.086062577361,4236.724933371049,4469.402151028256
2026-09-07,4582.041605128109,4458.905774637227,4690.67821725327
2026-09-08,4589.635238840912,4473.66685142415,4710.57284937664
2026-09-09,4606.95593737473,4485.689146755866,4726.210551454609
2026-09-10,4607.193421597522,4489.244285836431,4727.4119065847135
2026-09-11,4616.987246165016,4500.982665534195,4723.033612093485
2026-09-12,4406.928964752035,4293.584643247217,4524.9379577762265
2026-09-13,4415.82345791635,4299.667918038128,4521.399983010219
2026-09-14,4643.153358676862,4527.843607171241,4762.629881014615
2026-09-15,4651.562679145819,4527.3102393269755,4774.939196714651
2026-09-16,4670.149380144013,4548.043913077167,4789.629938856204
2026-09-17,4672.101193904016,4558.1461970091505,4779.859052336947
2026-09-18,4684.044332461648,4559.5197826167005,4807.016735021851
2026-09-19,4476.545570875152,4354.0038691532445,4600.819529008672
2026-09-20,4488.3737980002,4367.694428011191,4609.445188409457
2026-09-21,4718.964969855068,4603.672137419504,4834.23375693539
2026-09-22,4730.906559966661,4616.550043582443,4853.263548509492
2026-09-23,4753.231230963862,4625.525859161521,4874.164879972096
2026-09-24,4759.0540115829535,4642.363494296885,4880.151099319229
2026-09-25,4774.92257817506,4651.606246135603,4895.862383889368
2026-09-26,4571.321089696388,4467.014388897858,4687.759832807236
